Load,NDV,Solar,Wind
10113.3,8192.3,10,1911
10146.21,8188.21,0,1958
10057.92,8030.92,0,2027
9984.38,7910.38,0,2074
9760.23,7612.23,0,2148
9438.19,7304.19,0,2134
9228.39,7021.39,0,2207
9076.25,6893.25,0,2183
9054.2,6890.2,0,2164
8978.31,6768.31,0,2210
8970.82,6939.82,0,2031
9065.57,6988.57,0,2077
9302.71,7258.71,0,2044
9664.75,7678.75,0,1986
9932.53,8096.53,0,1836
9885.11,7954.11,20,1911
9944.44,7771.44,100,2073
9929.05,8005.05,176,1748
9958.39,7757.39,252,1949
9895.73,7613.73,368,1914
9779.82,7619.82,399,1761
9824.74,7379.74,412,2033
9852.41,7122.41,597,2133
9856.91,7596.91,239,2021
9949.06,7984.06,17,1948
10052.34,8065.34,0,1987
9985.52,7978.52,0,2007
9892.46,7823.46,0,2069
9770.74,7711.74,0,2059
9438.51,7449.51,0,1989
9202.98,7273.98,0,1929
9054.7,7328.7,0,1726
9021.39,7243.39,0,1778
8950.07,7234.07,0,1716
8979.6,7217.6,0,1762
9083.66,7296.66,0,1787
9273.01,7518.01,0,1755
9775.32,7965.32,0,1810
10064.39,8300.39,0,1764
10093.28,8336.28,19,1738
10087.64,8285.64,83,1719
10096.29,8242.29,141,1713
10092.94,8416.94,220,1456
10022.1,8128.1,264,1630
10063,8022,311,1730
9995.49,7881.49,427,1687
9974.38,7882.38,312,1780
9915.24,7975.24,288,1652
10021.74,8568.74,8,1445
9932.08,8292.08,0,1640
9930.9,8334.9,0,1596
9898.7,8250.7,0,1648
9654.02,8026.02,0,1628
9447.97,7843.97,0,1604
9327.16,7556.16,0,1771
9081.58,7275.58,0,1806
9072.87,7120.87,0,1952
9002.61,7054.61,0,1948
8943.12,7202.12,0,1741
9004.21,7298.21,0,1706
9113.73,7348.73,0,1765
9390.4,7508.4,0,1882
9655.9,7663.9,0,1992
9703.23,7740.23,103,1860
9889.03,7776.03,355,1758
9883.62,7824.62,404,1655
9879.65,7715.65,496,1668
9847.65,7628.65,446,1773
9736.81,7682.81,446,1608
9727.79,7520.79,524,1683
9804.94,7670.94,538,1596
9933.72,8259.72,108,1566
9848.76,8309.76,0,1539
9937.23,8385.23,0,1552
9850.85,8055.85,0,1795
9789.55,7887.55,0,1902
9611.19,7901.19,0,1710
9397.86,7524.86,0,1873
9184.99,7283.99,0,1901
8902.3,7042.3,2,1858
8762.69,6865.69,0,1897
8768.84,6823.84,0,1945
8823.73,6951.73,0,1872
8897.91,7023.91,0,1874
9001.25,7255.25,0,1746
9159.44,7316.44,0,1843
9338.77,7568.77,0,1770
9518.31,7699.31,13,1806
9607.21,7718.21,60,1829
9746.73,7765.73,126,1855
9776.01,7816.01,158,1802
9737.72,7665.72,153,1919
