load,NDV,Solar,Wind
10685.41,8293.41,987,1405
10666.81,8291.81,976,1399
10686.13,8299.13,970,1417
10690.18,8285.18,981,1424
10639.37,8236.37,988,1415
10687.77,8300.77,976,1411
10675.57,8285.57,965,1425
10645.78,8306.78,944,1395
10673.41,8333.41,935,1405
10658.39,8329.39,929,1400
10674.09,8342.09,928,1404
10672.12,8346.12,924,1402
10665.83,8354.83,916,1395
10667.82,8343.82,916,1408
10664.95,8342.95,912,1410
10676.49,8354.49,904,1418
10667.93,8354.93,911,1402
10690.45,8371.45,927,1392
10685.76,8366.76,921,1398
10670.93,8371.93,906,1393
10675.13,8381.13,898,1396
10692.69,8415.69,903,1374
10684.43,8395.43,895,1394
10691.22,8410.22,867,1414
10715.26,8461.26,859,1395
10667.61,8462.61,821,1384
10677.03,8482.03,809,1386
10660.34,8475.34,802,1383
10669.62,8482.62,811,1376
10688.27,8495.27,822,1371
10697.92,8483.92,842,1372
10680.31,8476.31,850,1354
10679.54,8474.54,869,1336
10674.88,8469.88,862,1343
10710.14,8482.14,877,1351
10675.11,8452.11,892,1331
10700.88,8437.88,919,1344
10691.28,8445.28,923,1323
10721,8459,929,1333
10717.54,8453.54,926,1338
10704.71,8423.71,934,1347
10725.46,8466.46,920,1339
10695.32,8498.32,869,1328
10696.07,8536.07,859,1301
10714.22,8585.22,850,1279
10726.08,8571.08,866,1289
10705.85,8549.85,879,1277
10707.44,8561.44,849,1297
10701.4,8592.4,804,1305
10716.99,8684.99,753,1279
10692.8,8731.8,716,1245
10688.88,8759.88,664,1265
10706.39,8802.39,642,1262
10724.81,8815.81,638,1271
10691.03,8785.03,657,1249
10700.62,8764.62,674,1262
10725.13,8764.13,694,1267
10720.6,8759.6,695,1266
10717.38,8738.38,712,1267
10708.33,8739.33,703,1266
10677.36,8716.36,708,1253
10661.75,8677.75,710,1274
10657.49,8682.49,722,1253
10669.27,8699.27,723,1247
10645.32,8616.32,764,1265
10625.56,8543.56,814,1268
10627.61,8501.61,853,1273
10648.06,8517.06,843,1288
10667.73,8590.73,817,1260
10656.27,8640.27,771,1245
10659.38,8622.38,784,1253
10653.01,8641.01,767,1245
10660.91,8656.91,755,1249
10677.24,8706.24,744,1227
10667.09,8691.09,731,1245
10645.41,8686.41,729,1230
10648.31,8659.31,725,1264
10663.09,8680.09,710,1273
10632.02,8650.02,692,1290
10659.84,8715.84,677,1267
10646.26,8721.26,668,1257
10647.42,8728.42,671,1248
10637.14,8689.14,693,1255
10640.82,8709.82,692,1239
10640.99,8729.99,684,1227
10668.97,8754.97,682,1232
10641.65,8702.65,690,1249
10662.77,8731.77,689,1242
10659.36,8722.36,696,1241
10679.1,8751.1,697,1231
10658.77,8705.77,727,1226
10669.57,8673.57,771,1225
10683.77,8634.77,823,1226
10664.54,8591.54,853,1220
10666.82,8586.82,866,1214
10679.77,8620.77,853,1206
10681.5,8642.5,832,1207
10678.23,8643.23,833,1202
10687.23,8629.23,844,1214
10696.81,8650.81,846,1200
10683.45,8617.45,869,1197
10701.91,8576.91,904,1221
10694.52,8554.52,928,1212
10721.31,8558.31,937,1226
10725.19,8499.19,975,1251
10728.86,8508.86,976,1244
10759.32,8555.32,974,1230
10745.03,8558.03,964,1223
10735.1,8563.1,959,1213
10719.17,8542.17,971,1206
10726.2,8550.2,979,1197
10718.94,8583.94,957,1178
10747.71,8587.71,960,1200
10743.44,8572.44,961,1210
10731.8,8560.8,961,1210
10758.04,8640.04,905,1213
10757.49,8653.49,872,1232
10764.87,8694.87,840,1230
10764.75,8767.75,783,1214
10749.71,8837.71,702,1210
10749.04,8871.04,679,1199
10746.59,8852.59,697,1197
10744.64,8844.64,716,1184
10737.41,8839.41,725,1173
10725.63,8822.63,737,1166
10720.15,8819.15,745,1156
10751.94,8826.94,759,1166
10721.68,8775.68,770,1176
10722.73,8755.73,789,1178
10745.42,8762.42,814,1169
10730.41,8747.41,818,1165
10743.53,8756.53,811,1176
10733.33,8756.33,802,1175
10729.66,8769.66,793,1167
10729.09,8747.09,824,1158
10735.55,8778.55,807,1150
10713.57,8746.57,809,1158
10716.45,8750.45,819,1147
10712.43,8731.43,830,1151
10706.82,8700.82,835,1171
10738.82,8733.82,831,1174
10750.33,8701.33,864,1185
10745.47,8704.47,902,1139
10750.38,8677.38,925,1148
10758.62,8700.62,924,1134
10736.48,8709.48,901,1126
10737.78,8700.78,903,1134
10736.04,8736.04,890,1110
10704.67,8681.67,877,1146
10764.71,8731.71,880,1153
10705.13,8698.13,862,1145
10727.14,8756.14,846,1125
10704.14,8731.14,846,1127
10707.52,8742.52,830,1135
10737.76,8776.76,835,1126
10725.96,8811.96,812,1102
10716.73,8824.73,800,1092
10725.13,8825.13,807,1093
10730.46,8803.46,828,1099
10727.79,8790.79,846,1091
10712.71,8723.71,884,1105
10727.84,8744.84,876,1107
10753.45,8716.45,912,1125
10735.87,8689.87,930,1116
10731.05,8667.05,932,1132
10751.79,8700.79,920,1131
10751.38,8710.38,919,1122
10762.53,8697.53,917,1148
10794.16,8713.16,922,1159
10782.19,8701.19,916,1165
10775.56,8695.56,923,1157
10764.76,8683.76,926,1155
10780.85,8709.85,924,1147
10785.45,8720.45,920,1145
10829.76,8745.76,926,1158
10790.44,8713.44,918,1159
10801.53,8718.53,907,1176
10796.33,8732.33,897,1167
10809.63,8722.63,887,1200
10790.07,8728.07,875,1187
10800.93,8724.93,883,1193
10797.91,8712.91,890,1195
10780.6,8691.6,895,1194
10785.84,8698.84,889,1198
10801.59,8706.59,889,1206
10794.41,8667.41,884,1243
10808.46,8707.46,886,1215
10765.75,8676.75,889,1200
10806.34,8684.34,903,1219
10808.47,8663.47,899,1246
