Solar,Wind
870,1311
866,1294
855,1293
834,1279
818,1274
809,1274
801,1282
787,1266
765,1267
747,1255
729,1266
716,1276
688,1269
674,1293
652,1288
634,1283
617,1268
610,1265
614,1266
628,1279
635,1288
635,1290
648,1296
657,1273
667,1284
661,1289
662,1281
662,1276
666,1289
667,1275
671,1284
674,1273
682,1294
683,1306
692,1312
689,1285
704,1269
702,1250
693,1249
684,1250
680,1237
681,1229
679,1211
670,1230
666,1228
662,1239
663,1219
653,1221
651,1217
646,1223
650,1235
647,1247
644,1219
648,1213
652,1214
656,1201
653,1201
657,1202
657,1228
655,1233
653,1240
647,1257
644,1261
633,1256
623,1255
623,1255
625,1255
623,1238
624,1237
622,1245
646,1271
642,1239
658,1244
653,1239
675,1257
672,1252
687,1252
685,1245
709,1235
709,1238
708,1238
708,1239
707,1225
705,1229
699,1226
702,1198
704,1200
701,1182
697,1185
693,1182
687,1186
679,1178
677,1178
670,1183
663,1178
651,1172
648,1161
643,1135
639,1119
636,1107
634,1106
630,1116
632,1102
626,1091
632,1079
637,1052
638,1036
638,1010
640,1034
640,1024
638,1035
629,1039
617,1040
601,1048
590,1030
577,1020
570,1010
560,1025
554,1033
549,1070
539,1075
536,1090
534,1106
534,1090
536,1086
533,1099
538,1110
537,1107
541,1124
539,1109
540,1114
538,1119
545,1152
543,1159
533,1154
522,1168
513,1161
506,1169
494,1181
481,1190
472,1212
463,1227
457,1240
448,1248
437,1269
421,1269
406,1257
396,1264
387,1258
376,1266
366,1272
361,1264
354,1281
342,1280
339,1268
332,1274
326,1295
317,1298
308,1306
299,1304
290,1298
280,1308
270,1318
262,1311
257,1329
253,1317
249,1318
245,1326
242,1328
238,1328
234,1315
230,1317
230,1312
224,1301
218,1301
215,1296
206,1304
204,1310
203,1301
201,1295
202,1298
198,1294
194,1288
190,1289
186,1288
181,1270
177,1265
174,1263
170,1274
167,1250
163,1253
159,1231
155,1227
153,1206
151,1194
148,1187
146,1168
144,1158
141,1144
139,1129
138,1116
136,1099
135,1089
132,1082
129,1077
127,1075
124,1082
122,1072
120,1076
118,1075
116,1061
114,1062
111,1044
107,1036
105,1040
103,1042
101,1037
99,1029
97,1023
94,1023
91,1026
89,1025
86,1011
84,1025
82,1021
80,1024
78,1028
75,1028
73,1026
72,1028
69,1020
62,1006
60,992
58,981
55,969
53,969
51,968
49,959
47,953
44,954
42,957
41,957
40,956
38,961
37,963
37,966
36,961
35,967
34,965
34,967
34,966
32,957
32,953
27,951
27,949
26,949
24,946
23,950
22,950
21,949
20,947
19,956
18,953
16,944
14,946
13,954
12,958
10,961
10,961
8,958
6,951
4,950
1,956
0,952
0,950
0,949
0,952
0,949
0,944
0,950
0,945
0,952
0,946
0,946
0,951
0,956
0,953
0,960
0,962
0,962
0,961
0,963
0,963
0,962
0,966
0,968
0,955
0,960
0,958
0,958
0,953
0,959
0,953
0,950
0,956
0,949
0,951
0,951
0,953
0,952
0,954
0,962
0,956
0,951
0,950
0,944
0,938
0,935
0,933
0,927
0,926
0,916
0,920
0,914
0,917
0,916
0,918
0,920
0,918
0,910
0,919
0,926
0,940
0,938
0,940
0,952
0,958
0,962
0,963
0,974
0,984
0,985
0,980
0,983
0,986
0,990
0,988
0,995
0,996
0,994
0,992
0,994
0,993
0,988
0,992
0,994
0,997
0,989
0,984
0,986
0,990
0,987
0,995
0,996
0,993
0,994
0,993
0,994
0,985
0,983
0,996
0,989
0,992
0,982
0,984
0,986
0,983
0,977
0,980
0,963
0,954
0,954
0,963
0,952
0,959
0,953
0,944
0,947
0,944
0,941
0,936
0,937
0,933
0,931
0,928
0,928
0,925
0,927
0,914
0,920
0,914
0,916
0,917
0,909
0,907
0,908
0,906
0,917
0,908
0,903
0,899
0,892
0,899
0,893
0,896
0,894
0,897
0,882
0,888
0,884
0,885
0,878
0,868
0,869
0,865
0,858
0,855
0,855
0,849
0,851
0,846
0,848
0,841
0,836
0,829
0,830
0,825
0,830
0,832
0,834
0,835
0,837
0,833
0,828
0,823
0,824
0,827
0,831
0,823
0,831
0,833
0,834
0,841
0,842
0,848
0,849
0,841
0,842
0,835
0,842
0,842
0,850
0,847
0,855
0,854
0,855
0,860
0,870
0,873
0,876
0,863
0,879
0,879
0,867
0,870
0,869
0,870
0,872
0,875
0,880
0,883
0,882
0,878
0,879
0,880
0,880
0,883
0,886
0,892
0,894
0,898
0,905
0,914
0,919
0,918
0,915
0,913
0,917
0,928
0,930
0,941
0,946
0,945
0,954
0,954
0,968
0,969
0,973
0,980
0,982
0,983
0,985
0,989
0,989
0,989
0,994
0,996
0,995
0,992
0,988
0,987
0,990
0,999
0,998
0,1001
0,1002
0,1001
0,1005
0,1013
0,1012
0,1022
0,1025
0,1037
0,1034
0,1044
0,1049
0,1054
0,1064
0,1076
0,1071
0,1074
0,1077
0,1076
0,1080
0,1076
0,1079
0,1081
0,1080
0,1079
0,1087
0,1093
0,1095
0,1090
0,1087
0,1095
0,1100
0,1095
0,1093
0,1098
0,1097
0,1102
0,1107
0,1105
0,1103
0,1106
0,1106
0,1107
0,1109
0,1107
0,1118
0,1119
0,1118
0,1116
0,1114
0,1114
0,1104
0,1107
0,1099
0,1100
0,1094
0,1097
0,1093
0,1097
0,1093
0,1103
0,1098
0,1099
0,1095
0,1097
0,1095
0,1091
0,1080
0,1076
0,1076
0,1068
0,1070
0,1066
0,1066
0,1053
0,1043
0,1037
0,1036
0,1022
0,1027
0,1022
0,1020
0,1023
0,1020
0,1014
0,1010
0,1015
0,1008
0,1005
0,1007
0,1003
0,999
0,1001
0,997
0,995
0,1000
0,996
0,994
0,997
0,994
0,988
0,985
0,985
0,984
0,982
0,983
0,982
0,976
0,980
0,972
0,969
0,968
0,965
0,962
0,970
0,970
0,976
0,989
0,981
0,984
0,972
0,976
0,979
0,990
0,993
0,993
0,1010
0,1012
0,1042
0,1045
0,1054
0,1056
0,1063
0,1060
0,1065
0,1061
0,1077
0,1082
0,1105
0,1118
0,1130
0,1143
0,1150
0,1154
0,1150
0,1153
0,1145
0,1151
0,1153
0,1163
0,1171
0,1178
0,1181
0,1184
0,1204
0,1211
0,1224
0,1216
0,1221
0,1213
0,1217
0,1221
0,1214
0,1212
0,1212
0,1211
0,1211
0,1209
0,1209
0,1212
0,1214
0,1223
0,1228
0,1226
0,1225
0,1235
0,1241
0,1245
0,1254
0,1249
0,1241
0,1240
0,1236
0,1228
0,1220
0,1222
0,1216
0,1216
0,1206
0,1203
0,1198
0,1180
0,1178
0,1167
0,1167
0,1179
0,1172
0,1163
0,1166
0,1158
0,1165
0,1164
0,1164
0,1144
0,1159
0,1147
0,1157
0,1148
0,1143
0,1125
0,1114
0,1104
0,1105
0,1094
0,1085
0,1077
0,1068
0,1062
0,1056
0,1054
0,1044
0,1042
0,1027
0,1021
0,1017
0,1014
0,1010
0,1005
0,997
0,991
0,1001
0,997
0,995
0,996
0,994
0,993
1,989
2,991
4,999
5,987
6,992
6,999
7,995
8,999
9,999
9,996
11,1007
11,994
13,991
14,999
15,1006
16,1008
17,1005
19,1015
20,1008
21,1009
23,1002
23,1012
25,1011
26,1011
31,1004
35,1007
36,1000
39,989
40,984
42,981
49,969
52,964
54,962
55,951
56,943
56,932
58,927
59,927
63,904
67,898
69,892
72,886
73,878
78,868
81,867
82,856
83,850
87,838
89,831
92,821
96,815
100,804
103,803
106,798
109,795
113,789
116,787
117,781
116,770
112,767
110,768
111,757
114,759
120,755
128,747
138,740
145,734
150,729
156,721
163,718
170,713
173,708
177,702
181,698
185,691
187,691
185,687
183,683
188,678
194,671
206,664
216,653
226,646
227,644
230,639
233,628
235,608
235,608
238,603
242,594
243,589
249,590
254,588
258,581
259,586
265,582
270,576
273,573
273,577
274,568
280,554
290,558
295,562
296,561
302,553
308,544
314,543
321,542
332,534
344,535
362,522
374,522
375,516
375,513
375,512
372,510
369,503
373,508
379,501
379,493
390,493
401,489
411,486
412,482
420,474
433,482
446,474
464,472
480,463
486,461
486,453
475,452
467,445
452,438
434,441
410,437
399,431
389,431
383,430
382,433
380,429
385,433
401,425
404,423
419,423
425,418
441,416
445,410
452,402
459,412
468,415
467,409
467,406
466,403
483,387
480,384
481,374
461,371
445,368
428,364
415,358
409,357
405,356
405,356
406,352
407,344
408,343
413,339
421,334
422,338
420,334
413,339
413,339
413,339
413,334
410,339
406,329
408,322
413,316
416,312
420,314
421,315
427,307
431,313
433,310
435,308
440,305
444,311
445,305
447,312
454,311
452,312
449,315
451,315
457,320
457,323
451,321
451,316
461,317
467,318
474,313
470,318
467,319
467,311
468,312
471,309
475,308
476,312
472,314
476,315
483,306
487,306
484,305
484,303
480,303
470,307
467,304
462,297
464,299
461,296
460,297
462,295
459,294
454,295
458,292
458,291
459,290
461,291
467,295
472,286
480,292
485,289
489,285
493,283
498,290
509,283
517,284
521,278
528,273
527,277
525,281
524,283
528,278
530,273
532,274
536,275
542,284
543,287
549,288
553,294
556,293
565,290
575,287
583,295
588,299
594,306
603,309
609,313
609,311
613,316
611,317
615,311
625,314
638,314
651,310
676,312
703,300
724,298
745,293
754,289
759,286
755,288
751,288
753,291
756,297
752,295
759,292
755,297
759,300
765,302
761,302
758,309
762,325
763,322
762,323
763,332
765,339
762,342
